Freq,InputRe,InputIm,OutputRe,OutputIm,Mag,Phase,SmoothMag,SmoothPhase
1410.59,105930.8,0,459.0322,4194.119,-27.96506,86.03122,-33.54022,-328.9482
1416.016,108891.5,0,2303.928,1454.673,-31.84846,33.04974,-33.43624,-335.6558
1421.441,86981.69,0,-602.9885,-746.5615,-39.20652,-129.4158,-33.33289,-331.6698
1426.866,102691.4,0,-2876.649,806.2134,-30.96478,164.7814,-33.35487,-334.9213
1432.292,102257.6,0,-643.6581,40.50314,-44.05814,176.4219,-33.16054,-339.8086
1437.717,68524.59,0,-1802.346,831.1895,-30.98882,155.9194,-33.10612,-337.2565
1443.142,85864.86,0,-1184.524,1914.57,-31.74847,123.0046,-32.89138,-340.8489
1448.568,86138.3,0,1473.577,2391.293,-29.5869,59.97539,-32.49173,-346.197
1453.993,66947.07,0,1029.99,2498.99,-27.7495,69.77148,-32.89531,-335.5717
1459.418,61951.03,0,88.30119,663.9258,-39.31054,83.03909,-33.54449,-324.815
1464.844,107442.8,0,106.2392,-1591.259,-36.56177,-87.0297,-33.44135,-336.6676
1470.269,94322.5,0,-2064.953,-2760.741,-28.93372,-128.436,-34.51935,-335.6916
1475.694,50748.03,0,-1220.302,1508.69,-28.56046,130.6305,-34.84882,-343.1008
1481.12,94120.7,0,1609.251,1348.828,-32.8814,40.80409,-34.54427,-340.8894
1486.545,85565.38,0,941.2098,3224.607,-28.03157,75.91055,-34.64914,-349.7899
1491.97,97971.13,0,811.7632,-339.7705,-40.86007,-22.91253,-33.74473,-359.6501
1497.396,97837.13,0,-69.91772,-2432.038,-32.09596,-93.06967,-33.57874,-373.1031
1502.821,32969.11,0,-198.8853,-1457.182,-27.07232,-100.2876,-33.87184,-375.0057
1508.247,64195.58,0,-1644.619,229.9867,-31.96446,172.2394,-33.77,-376.1097
1513.672,92290.99,0,-995.1135,89.60321,-39.40382,174.9098,-33.81603,-376.2679
1519.097,78008.07,0,-417.4227,-416.6429,-42.47556,-135.3579,-33.4286,-375.395
1524.523,57068.31,0,-47.47823,161.6757,-50.60301,106.5278,-33.40897,-370.7565
1529.948,85205.2,0,-523.3541,-838.0668,-38.76729,-122.544,-33.22332,-363.0818
1535.373,107663.3,0,355.4142,-2429.955,-32.81096,-82.97594,-33.1707,-367.3794
1540.799,86241.16,0,1724.961,-685.2557,-33.16711,-22.13042,-33.08056,-365.7574
1546.224,50967.1,0,2371.002,-1318.984,-25.06564,-30.64184,-33.17636,-366.7483
1551.649,44063.05,0,-1081.406,-1567.36,-27.50297,-126.5923,-32.72051,-367.5307
1557.075,65384.95,0,110.9658,823.5513,-37.90354,83.049,-32.46089,-366.9995
1562.5,88804.07,0,2969.57,2109.11,-27.44823,36.7915,-32.6783,-366.8757
1567.925,72683.49,0,1127.751,2370.006,-28.71625,66.44988,-32.81677,-373.9386
1573.351,41308.05,0,-195.4213,1130.111,-31.17453,101.3704,-32.48537,-385.4593
1578.776,61593.23,0,930.0433,167.674,-36.14956,10.37823,-32.1298,-386.4442
1584.201,96761.19,0,4430.922,2670.325,-25.03505,32.73217,-31.29088,-383.1293
1589.627,63611,0,2033.222,1638.117,-27.45535,40.38139,-30.91519,-385.7916
1595.052,52215.3,0,419.7875,1400.698,-30.98858,74.86565,-31.04182,-373.6526
1600.477,45677.27,0,836.5506,1136.74,-30.04336,55.10205,-31.74645,-374.7459
1605.903,36859.88,0,771.5607,-610.9658,-31.2872,-39.3441,-31.65588,-372.1685
